testuser1           testuser2           Hi How have you been?
Samuel123           testuser1           Hi How is your day?
testuser1           testuser2           This is a test message to verify the messaging system works correctly!
testuser1           sampleuser          This should fail because sampleuser is not directly connected
testuser1           testuser2           Hello! This is a complete test of the messaging system.
testuser1           testuser2           12345678901234567890123456789012345678901234567890123456789012345678901234567890
testuser1           testuser2           Final test message: All messaging features are working correctly!
testuser1           testuser2           Final test message: All messaging features are working correctly!
testuser1           testuser2           Final test message: All messaging features are working correctly!
testuser1           testuser2           Hello! This is a test message to a valid connection.
testuser1           testuser2           First message from testuser1.
testuser1           Samuel123           This should fail - not directly connected (only through sampleuser)
testuser1           testuser2           12345678901234567890123456789012345678901234567890123456789012345678901234567890
testuser1           testuser2           AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
testuser1           testuser2           Message with special chars: !@#$%^&*()_+-=[]{}|;:'",.<>?/~` and numbers 12345678
testuser1           sampleuser          Message from testuser1 to sampleuser.
Samuel123           sampleuser          Message from Samuel123 to sampleuser.
testuser1           testuser2           This message should persist after logout.
testuser1           testuser2           Testing with a very long username that might cause issues if not handled properl
testuser1           sampleuser          This should fail because sampleuser is not directly connected
testuser1           testuser2           12345678901234567890123456789012345678901234567890123456789012345678901234567890
testuser1           testuser2           This is a test message to verify the messaging system works correctly!
testuser1           testuser2           Hello! This is a test message to a valid connection.
testuser1           testuser2           First message from testuser1.
testuser1           testuser2           12345678901234567890123456789012345678901234567890123456789012345678901234567890
testuser1           testuser2           AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
testuser1           testuser2           Message with special chars: !@#$%^&*()_+-=[]{}|;:'",.<>?/~` and numbers 12345678
testuser1           sampleuser          Message from testuser1 to sampleuser.
Samuel123           sampleuser          Message from Samuel123 to sampleuser.
testuser1           testuser2           This message should persist after logout.
testuser1           testuser2           Testing with a very long username that might cause issues if not handled properl
testuser1           sampleuser          This should fail because sampleuser is not directly connected
testuser1           testuser2           12345678901234567890123456789012345678901234567890123456789012345678901234567890
testuser1           testuser2           This is a test message to verify the messaging system works correctly!
